Q0K5T4	 COG0792
P74498	 COG0204
Q55430	 ENOG502ZQCI
Q55658	 COG0754
Q55838	 COG0745
Q55838	 COG2205
P73961	 ENOG5032YHW
P73034	 COG1247
Q55454	 COG1876
P73197	 COG1112
P73197	 COG1468
P74769	 ENOG5031D1H
P74082	 COG2302
P73983	 COG1215
Q55718	 COG4251
P73438	 COG0309
Q55591	 COG2114
P73885	 COG1161
P73429	 ENOG5032YD8
P72907	 COG2227
Q55807	 COG0443
P73799	 COG0491
P74127	 COG3842
P73929	 COG1917
Q55908	 COG0535
P72967	 ENOG50303EG
P72765	 COG3049
Q55387	 COG0683
Q55741	 COG0619
P72683	 COG0142
P73198	 COG1596
P74729	 COG0451
P73886	 COG0012
P74788	 ENOG50330BX
P74340	 COG1472
P73482	 COG2267
P74013	 COG0438
P72602	 COG4774
Q55956	 COG0842
Q55956	 COG1131
Q55956	 COG1716
P74036	 COG0451
P74144	 COG0009
P73669	 COG0612
P73934	 COG3225
P73244	 ENOG50314XV
Q55783	 COG2205
P74053	 COG1169
P74654	 COG1473
Q55667	 COG0009
P72661	 COG0281
P74668	 COG0399
Q55442	 COG0835
P74658	 COG3706
P74014	 COG0642
P74014	 COG3706
P74370	 COG3670
Q55635	 COG0438
P72653	 COG1305
P73216	 COG1714
P73507	 COG1372
P73507	 COG2812
P74570	 COG4916
P73926	 COG0642
P73926	 COG0784
P73926	 COG2198
P73926	 COG3300
P72860	 ENOG50335TB
P74236	 COG0590
Q55564	 COG1842
P73776	 COG1225
P72938	 COG2374
P72938	 COG3204
Q55136	 COG0288
P73964	 COG1453
P73099	 COG3335
P73037	 COG0545
Q55483	 COG1624
P73877	 ENOG5031UJZ
P72674	 ENOG50318U5
P72722	 COG3431
P73054	 COG0204
P74660	 COG5439
P74447	 COG0633
P73380	 COG0834
P73380	 COG5001
Q55865	 COG4448
Q55733	 COG0745
Q55114	 ENOG502Z8IN
P73385	 ENOG5032SQD
Q55501	 COG1192
P74283	 COG0633
P74335	 COG2127
P73759	 COG4301
P73586	 COG0457
P74366	 COG0457
P74688	 COG0322
Q55496	 COG0569
P73928	 COG3437
P73476	 COG3380
P72918	 COG4636
Q55923	 ENOG502ZAAA
Q55532	 COG0307
P73105	 COG0860
P74123	 COG0457
P74605	 COG2013
P73818	 COG2242
P74550	 COG2059
Q55671	 ENOG502ZYMB
P73806	 COG0483
P72781	 COG2197
P74795	 ENOG5032Y50
P73605	 COG0693
P73417	 COG0079
P74318	 COG0559
P73035	 COG0784
P73035	 COG2198
P73035	 COG2202
P73035	 COG2205
P73035	 COG3452
P74721	 COG1064
Q55557	 COG4257
P73583	 ENOG5031BER
P72880	 COG1682
P73149	 COG0346
Q55698	 COG4726
P72895	 COG0451
P72969	 COG1252
P73604	 COG0599
P72782	 COG0673
P73348	 COG0450
P73914	 COG1657
Q55160	 COG0439
P74190	 COG1196
P74024	 COG1894
P73185	 COG1963
P73536	 ENOG502Z85P
Q55984	 COG0644
P74200	 COG1680
P73114	 COG0596
Q55938	 COG0789
Q55938	 COG2082
P74555	 COG1100
P74555	 COG3597
P74233	 ENOG502ZNY9
P73924	 COG1662
Q55892	 COG5659
Q55493	 COG0667
P73624	 COG0583
P73075	 COG4636
P73279	 ENOG50320P3
Q55789	 COG2345
P74700	 COG5659
P73972	 COG1134
P74419	 COG1403
P73384	 COG2267
P73857	 COG4177
P73584	 COG1994
Q55633	 COG0834
Q55188	 ENOG502ZYH1
Q55886	 COG1192
P74059	 COG3415
Q55437	 COG2199
Q55437	 COG2203
P74731	 COG1682
P74295	 COG5001
P73271	 COG2203
P73007	 COG0835
P73551	 COG2911
P72592	 COG1120
P74405	 COG1226
P74403	 COG4638
P72627	 COG1668
Q55194	 COG0526
P73673	 COG1403
Q55829	 COG0586
P73039	 COG0546
P72724	 COG0009
P72700	 COG0589
P72884	 COG1134
P73652	 COG3206
P73004	 COG1022
P72909	 COG0438
P72634	 COG2755
Q55776	 COG0845
P73432	 COG5662
P73419	 COG0454
P74048	 ENOG5032S9I
P73362	 COG1429
Q55640	 COG1277
Q55957	 COG1876
Q55561	 ENOG50313FM
Q55832	 COG0848
P74482	 COG2165
P73576	 ENOG5032H5C
P73703	 COG2165
P74513	 COG1716
P73629	 ENOG50308EH
P73936	 COG1787
Q55966	 ENOG503287S
P72784	 COG2715
P73622	 COG1432
Q55530	 ENOG5032SCF
P73378	 COG2929
Q79F24	 ENOG5032SP8
P74270	 COG1134
Q55732	 COG4330
P74026	 COG3293
P73855	 COG3268
P74169	 ENOG5033UXD
P74300	 COG1585
P74110	 COG1429
P73036	 COG3706
P73696	 COG2442
Q55524	 COG1032
Q55133	 COG0576
P74474	 COG1680
P74277	 COG5659
P74713	 COG0607
P72764	 ENOG502Z7XK
P73222	 COG2220
P73008	 COG0457
P73008	 COG0840
P73683	 COG3293
P74609	 ENOG5030VE0
P73613	 ENOG5033SAV
Q55553	 COG1961
P72972	 COG3706
P74455	 COG4177
P73158	 COG4636
P74640	 COG1432
P73948	 COG0438
P73113	 ENOG5031CJR
P72898	 COG2337
P73110	 ENOG5032Y9E
P72999	 COG4636
P73041	 COG1672
Q55857	 COG2814
Q55401	 ENOG5032Y7G
P73147	 COG1662
Q55542	 ENOG5032YU7
P73082	 ENOG5031UKK
P74687	 COG1716
P72816	 COG0340
P73575	 COG0115
P74744	 ENOG50317CS
Q55734	 COG0406
P74666	 COG1226
P72787	 COG0611
P73708	 COG5464
P74273	 COG1192
P74333	 ENOG5033MWG
P73991	 COG1028
P74479	 COG1721
P74437	 ENOG5032Z94
P74439	 COG2226
P72838	 ENOG5031UKX
P73745	 COG0038
P74441	 COG3619
Q55959	 COG0145
Q55959	 COG0146
P73234	 COG0664
Q55951	 COG2072
P73875	 ENOG5032HU4
P73739	 COG1252
P72886	 COG0451
P73383	 ENOG5031FXK
P73344	 COG0457
P73953	 COG3329
Q55703	 COG0122
P74477	 COG0038
P74477	 COG0517
P74477	 COG0589
P73656	 ENOG5031435
P72812	 COG0346
P74583	 ENOG5033QSI
P74174	 COG0723
P72876	 COG2389
Q55413	 COG0823
Q55413	 COG1506
P74402	 COG1633
Q55943	 COG3544
P74672	 ENOG5032H0B
P73504	 COG2017
P74793	 ENOG502ZEAA
Q55953	 COG3558
Q55602	 COG1104
P72853	 ENOG502ZCH4
P72857	 COG1357
Q55361	 COG0312
P74752	 COG0435
P72923	 COG4222
P72713	 COG1322
Q55754	 ENOG502ZC57
P74064	 COG0699
P74064	 COG3768
Q55620	 ENOG502ZCFJ
Q55603	 COG1040
P73764	 COG0515
P74520	 ENOG5032YG8
P74413	 ENOG5032YPY
P72808	 COG0077
P74580	 COG2442
P74201	 ENOG5032ZI3
P73491	 ENOG5033B1F
P73510	 COG2140
Q55628	 COG1463
P73539	 COG1268
Q55833	 COG0848
P72975	 ENOG5032YXH
O06944	 COG0457
O06944	 COG3307
P72665	 COG1401
P74047	 ENOG50319HC
Q55396	 COG0457
P74663	 COG0248
Q55713	 ENOG5031Q1V
Q57473	 COG0501
Q55608	 COG0569
P73499	 COG1598
P73509	 COG3258
P73968	 COG3415
P72807	 COG1413
P74560	 ENOG502ZQ0M
P73196	 COG0272
P73196	 COG0497
P73196	 COG3170
Q55770	 COG3330
P74427	 ENOG50302RZ
Q55481	 COG0598
Q55449	 COG3975
P72829	 ENOG50320FB
P72628	 COG2226
Q55144	 COG0512
P72621	 COG1091
P73978	 COG1082
P74412	 COG2442
P73751	 COG2149
P74725	 COG1357
P73524	 COG1357
P74092	 COG0457
Q55545	 COG1449
P74530	 ENOG502ZVAI
P72778	 COG5279
P73979	 COG0399
P73979	 COG0517
P73802	 COG0730
P74471	 COG3293
P73525	 COG0546
P72615	 COG4634
Q55655	 COG0454
P74354	 ENOG5032SVX
Q55800	 ENOG5030P7I
Q55973	 COG5659
P74243	 COG3744
Q55137	 COG3484
P73619	 COG4354
Q55831	 COG3293
Q55174	 COG0464
P72879	 COG4636
P74147	 ENOG5031TCF
P73938	 COG0385
P74085	 COG4636
Q55555	 COG2509
P73457	 COG1589
Q55182	 COG0318
P73171	 COG0633
Q55408	 COG3895
P74777	 ENOG5032S8W
Q55572	 ENOG5033H04
P72841	 COG1262
Q55955	 COG2202
Q55955	 COG3706
Q55955	 COG3829
P74512	 COG2217
Q55378	 ENOG502ZCKG
Q55166	 COG0628
P73727	 ENOG502Z7HP
P72729	 ENOG502Z89S
Q79EF9	 COG0803
P73186	 COG1309
P73691	 COG2267
Q55560	 ENOG5032S8N
P73535	 ENOG5032RTM
P74252	 COG0591
P73984	 COG2604
Q55817	 COG4636
P73189	 COG2023
Q55580	 COG1452
Q55193	 COG0785
P72885	 COG1208
P73803	 COG1749
Q55514	 ENOG502ZW5U
P73206	 ENOG5031UMK
P73822	 ENOG502ZAA4
P73919	 ENOG503145F
P73831	 ENOG502Z7MI
P74138	 COG0745
Q55960	 COG2954
P73256	 COG2203
P73256	 COG2208
P74282	 COG1716
P72815	 COG3038
P72614	 ENOG5033NKU
Q55934	 COG0845
Q55676	 COG3188
P73369	 COG0297
P74118	 COG2010
Q55149	 COG3937
P74585	 ENOG5032V7J
P73909	 COG4636
Q55743	 COG5266
P74804	 COG2072
P73762	 COG0457
P74440	 COG4409
P73181	 COG1918
P72922	 COG0438
P74322	 COG2214
P72610	 COG0614
P74023	 COG4636
Q55841	 COG1621
P74549	 COG2165
P73150	 COG0745
P72865	 ENOG50314X7
P74757	 COG3694
P74488	 COG1898
Q55815	 ENOG5032Y28
P74655	 COG3203
P74655	 COG3659
P74508	 COG1314
P73468	 COG3839
P73484	 COG2906
Q55972	 ENOG502ZJVI
P74001	 ENOG5032WX7
Q55989	 COG0167
P73338	 ENOG502Z91K
P74382	 ENOG503045H
Q55394	 COG0613
P74012	 COG4636
P73194	 COG1073
P74637	 COG0338
P74254	 COG4402
P73970	 COG1669
P74699	 COG5659
P74272	 COG1051
P74613	 COG4244
P73549	 COG4726
Q55762	 COG0810
P74317	 COG0488
Q55409	 ENOG50308BW
P73777	 ENOG5031A3D
P73772	 COG1917
P74279	 COG5659
P72775	 COG0686
P74160	 COG0791
P73465	 COG0210
P74150	 COG0639
P74670	 COG2197
P72779	 COG0229
P73899	 COG1178
P72819	 COG5304
P74573	 COG3408
P73686	 COG2197
P72706	 COG0318
P72672	 COG3307
P72698	 ENOG5032VA9
P74345	 COG3651
P72984	 COG4094
P72643	 COG0526
P73050	 COG0663
P74772	 COG4640
Q55366	 COG0155
P73066	 COG2070
P73178	 COG1225
P74303	 COG0769
P73996	 COG0463
P74005	 ENOG5033MGG
P73062	 COG2442
P74496	 COG4638
P73782	 COG3677
P73029	 COG1463
Q55573	 ENOG502ZASK
P73373	 COG2172
Q55390	 COG2267
Q55531	 COG1357
P72576	 COG4456
P74244	 ENOG50333Z9
Q55375	 COG0030
P74633	 ENOG5032FQ6
P73118	 COG4191
P73760	 ENOG50320CM
P74080	 COG3046
P73453	 COG0547
P74050	 COG3385
P72992	 COG3293
Q55985	 COG2405
Q55485	 COG1100
Q55363	 COG1309
P74712	 COG0500
Q55922	 COG4221
P74611	 COG3040
Q55763	 COG2385
Q59997	 COG2217
P72859	 COG0436
Q55478	 COG4360
Q55719	 ENOG5032S96
P72964	 COG1847
P72964	 COG3854
P74029	 COG0702
P73611	 COG2172
P73740	 ENOG5030HRI
P73230	 COG1320
P73372	 COG1075
P72598	 COG0614
P74057	 COG2148
P74131	 COG2981
P74785	 ENOG50330SE
P72901	 COG0463
P73798	 COG2859
P72961	 COG1900
P73339	 COG0210
P72976	 COG1192
Q55543	 COG0546
P73597	 COG0726
Q55151	 COG1752
P72697	 COG1225
P74046	 COG1215
P73537	 COG2326
P73395	 COG1009
Q55952	 COG2197
Q55952	 COG2203
P74504	 ENOG5032Y2A
Q55172	 COG0299
Q55693	 COG2202
Q55693	 COG2205
Q55693	 COG3706
Q55708	 COG0491
Q55661	 COG0420
P74577	 ENOG5031UI7
Q55826	 COG3675
P72813	 COG0457
Q55440	 COG0438
Q55440	 COG0561
P74749	 ENOG502ZBM5
P73328	 ENOG502Z8H2
P73563	 COG0276
P74015	 COG0745
P74015	 COG2205
Q55877	 COG1475
P73852	 COG0823
P73078	 COG0784
P72891	 COG4636
Q55796	 COG0241
P72573	 COG2104
P73134	 COG1917
P74483	 COG4966
P74153	 COG2947
Q55679	 COG0436
P73871	 COG2911
Q55930	 COG3448
P74170	 COG4241
P74599	 COG1340
P74599	 COG3637
Q55441	 ENOG503153R
Q55618	 COG0842
Q55968	 COG0598
P74536	 COG3596
Q55920	 COG1651
Q55936	 COG4678
P74563	 ENOG50335R7
P72843	 COG3706
P72843	 COG5001
P74574	 COG4122
P72624	 COG1309
Q55755	 COG3344
P72889	 COG2442
Q55521	 COG4398
P74753	 COG0859
P74656	 COG0406
Q55977	 COG0322
P74627	 COG3415
P73227	 COG0651
P74004	 COG0745
P74004	 COG2205
Q55872	 COG0800
Q55836	 ENOG50339PD
P73856	 ENOG502ZBK0
Q55689	 COG1208
Q55689	 COG1209
P74037	 COG5464
P73160	 COG1294
P74039	 ENOG503331U
P74086	 COG4636
Q55176	 COG2815
Q55392	 COG0526
Q55392	 COG4243
Q55814	 COG0659
P74189	 COG1450
P73278	 COG1132
P74199	 COG0642
P74661	 ENOG502ZBTH
P72590	 COG0609
P73219	 ENOG502Z9K6
Q55599	 ENOG5030HRK
P72869	 ENOG503201M
Q55124	 COG0277
P72949	 COG0472
P74797	 ENOG5032YG9
P74404	 ENOG502Z8UT
P74603	 COG2013
Q55113	 COG2968
Q55654	 ENOG50313ER
P72998	 COG3344
Q55197	 COG0581
Q55175	 COG0500
Q55615	 COG3170
P74222	 ENOG5031UMI
P72746	 COG1716
P72746	 COG5001
P73642	 ENOG5033J6Q
P74485	 ENOG5032YVY
Q55509	 COG1226
Q55509	 COG3273
P73188	 ENOG50337JM
P72691	 COG1523
P73835	 COG0625
Q55558	 ENOG5033VE1
P74113	 ENOG502Z8SJ
P74807	 COG3415
P74756	 COG0523
P73238	 COG4726
P73111	 COG1462
P73019	 COG2931
P74108	 COG0457
P74108	 COG4995
Q55494	 COG0795
P73514	 COG1805
P73977	 COG3385
P73878	 ENOG502ZFJQ
P74390	 COG0683
Q55839	 COG0715
P73277	 COG0537
P73830	 COG1598
P73830	 COG1724
P73352	 COG1175
P73565	 ENOG5031UM8
P74464	 COG1459
P73239	 COG1132
P74445	 ENOG5032GP1
P72734	 COG1127
P73582	 COG1310
P74011	 COG1305
P73403	 COG4671
P74247	 COG2442
Q55199	 COG0226
P74463	 COG2805
Q55859	 COG0668
P73360	 COG2442
Q55145	 COG0382
P73793	 COG0670
P74032	 COG2027
P73091	 COG0457
P73091	 COG4783
P73694	 ENOG50301T3
Q55677	 ENOG5030HRJ
P73399	 COG0510
P73122	 ENOG502ZA9K
P73480	 ENOG50334KX
Q55581	 COG5512
P73229	 ENOG5032SS9
P72908	 COG1089
P74588	 COG1522
P74778	 ENOG5033E3C
P74216	 COG0744
P74719	 COG1277
P74264	 ENOG502ZTJ9
P73146	 ENOG502ZBP7
P74302	 COG3206
P74396	 COG4632
Q55568	 COG3293
P74718	 COG2040
Q79EE5	 COG0745
Q79EE5	 COG2200
P72572	 COG3335
P73449	 COG1116
P72912	 COG0438
P73733	 ENOG50314QQ
P73365	 COG0784
P73253	 ENOG5032YQE
Q55583	 COG1520
Q55583	 COG2373
Q55583	 COG3391
Q55191	 COG5343
P72670	 ENOG502ZB6Z
P72715	 COG1409
P73573	 COG1453
Q55994	 COG0725
Q55502	 COG2607
P73976	 COG3335
P73976	 COG3415
P72875	 COG4735
P74608	 COG0664
P74608	 COG3264
P73758	 COG0488
Q55812	 COG0463
P73579	 COG3577
Q55536	 COG1940
P73109	 ENOG5032S1W
Q55596	 COG0300
P73124	 ENOG5032YXH
P72887	 COG1898
P72617	 ENOG502Z7P6
P73679	 COG0520
P72741	 COG5474
P72773	 ENOG5033E2N
P74491	 COG2814
P74773	 COG2954
P72658	 COG0494
P73963	 COG1357
Q55670	 ENOG50315SX
P74225	 COG4665
Q55427	 COG0664
Q55427	 COG2200
P74009	 ENOG5033IR7
P73400	 COG1132
P74000	 ENOG5032Q41
P74602	 COG0739
P73731	 COG3310
P73431	 COG1595
P73226	 COG1006
P72738	 COG2307
P73568	 ENOG5032U5E
P73128	 COG0451
P74493	 ENOG5032WHP
P74407	 COG1533
P74701	 COG5659
P73065	 COG0457
P73065	 COG1807
P74377	 COG3744
Q55425	 COG3779
Q55802	 COG0745
P73768	 COG3117
P74284	 COG1413
P72798	 ENOG5032ZJ2
Q55559	 COG0484
Q55455	 COG1233
P73470	 COG0637
P73941	 ENOG503358W
P73853	 COG0516
P74532	 ENOG5032T0D
P73371	 ENOG50313P7
P74099	 COG4636
P72676	 COG1104
P73233	 COG1721
P74743	 COG2226
P74319	 COG1189
P72993	 COG1487
P74031	 ENOG503328M
P73094	 ENOG502ZAVG
P74280	 COG5659
P74406	 COG1950
P74109	 COG4252
P74093	 COG0494
Q55516	 COG1061
P73682	 COG0338
P74418	 ENOG50305VP
P72996	 COG2361
Q55380	 COG3011
P72936	 COG2205
P72936	 COG3706
P97153	 COG3385
P74256	 COG4587
Q55464	 COG1008
Q55990	 COG0639
P72570	 COG3468
P74780	 ENOG5032S35
P72605	 COG0810
P73089	 COG0737
P73089	 COG2931
P73089	 COG3210
P73089	 COG4932
P72962	 COG0618
Q55432	 COG2002
P73556	 COG0446
P73900	 COG1840
Q55809	 COG2226
Q55171	 ENOG5032Y73
Q55747	 ENOG5032T20
P72629	 COG2318
P73143	 COG0553
P73199	 ENOG5032RS2
Q55935	 COG3696
P73258	 COG1051
Q55887	 ENOG5033B8G
P74581	 COG2026
P73593	 COG0662
P73165	 COG1848
P73015	 COG1928
P74196	 COG3335
P72826	 COG0762
P73415	 COG2402
P74020	 ENOG5033CK4
P74425	 COG1266
P74651	 COG0456
P74621	 ENOG5031E25
P72607	 COG1132
P73117	 COG0768
Q55866	 ENOG502ZY99
P73506	 ENOG503367W
P73626	 COG0631
P73454	 COG0406
P73377	 COG0662
P74720	 COG4803
P72625	 COG0456
P72950	 COG1234
P74649	 COG2931
P72801	 COG5626
Q55962	 COG0531
P73000	 COG4636
Q55992	 COG4636
Q55830	 COG0664
Q55830	 COG3264
Q55201	 COG1357
P74677	 COG3256
Q55590	 ENOG502ZX30
P73906	 COG0287
P74468	 COG0006
P74376	 COG3751
P73765	 COG0699
Q55851	 COG0628
P73842	 COG0285
Q55668	 COG1208
Q55623	 ENOG5031YA1
P72678	 COG1249
P73286	 ENOG50330CE
P73333	 COG3293
P73173	 COG0457
P73173	 COG0840
P73173	 COG3850
P73861	 ENOG5032S1P
P73823	 COG1716
P73823	 COG2114
Q55666	 COG2821
P73030	 COG1127
P72630	 COG0500
P73359	 COG1028
P73359	 COG3347
P73022	 ENOG502Z7N0
P74727	 ENOG5031S34
P73059	 COG1249
P73275	 COG0786
P73106	 ENOG5032T0Q
P74022	 COG3383
P74628	 COG3335
P74224	 COG4664
P72956	 COG0745
P72956	 COG2203
P72956	 COG3706
P72582	 ENOG502ZBMS
Q55184	 COG0451
P72755	 ENOG502ZTIZ
P74341	 COG1051
P74234	 COG0698
P73677	 COG0685
P73046	 COG0388
P72844	 COG1159
P72921	 COG0110
Q55189	 COG1487
P73665	 ENOG502ZBKN
P73282	 COG0021
Q55412	 COG0451
P73243	 COG0784
P72902	 COG0438
P73603	 ENOG502ZARB
Q55871	 COG5659
P73561	 COG1293
P74704	 COG3689
P74336	 COG0463
P74336	 COG2246
P73288	 COG1028
P74191	 ENOG5032RI2
P74717	 COG1842
P74293	 COG2200
P74754	 COG0664
Q55813	 COG4122
P72654	 COG3187
Q55844	 COG0697
P74747	 ENOG50332WI
P72919	 ENOG5033XVQ
P73743	 ENOG5030UXR
P73024	 COG0463
Q55745	 COG0438
P74492	 COG0708
Q55562	 COG0007
Q55562	 COG1587
Q55771	 COG2048
P74281	 COG0075
P73287	 COG2193
Q55765	 COG0724
P74251	 ENOG5032XTM
P73973	 COG2161
Q55903	 COG4845
P72639	 ENOG50316PR
P73630	 ENOG5032ZB7
P73748	 COG3415
Q55388	 COG0025
Q55388	 COG0569
P73330	 COG3677
Q55869	 COG4401
P74411	 COG1837
Q55885	 COG0642
P74702	 COG0326
Q55456	 COG1149
P72585	 COG0451
P74636	 ENOG5032YDX
Q55712	 COG0354
P74351	 ENOG5031KNS
P74052	 COG0095
Q55402	 ENOG50302DE
P74579	 COG0785
P73213	 COG2608
P72971	 COG2200
P72650	 COG1819
Q55614	 COG2979
Q55614	 COG4674
P73040	 COG4976
P73736	 COG0860
P73907	 COG0843
Q57456	 COG1565
P74590	 COG0579
P74265	 COG0763
P72638	 ENOG5032YRP
P73523	 ENOG5031UMP
P72735	 COG0668
P73074	 COG0249
Q55757	 ENOG5032VUV
P73805	 ENOG503305C
P72960	 ENOG503304D
P73485	 COG1807
Q55927	 COG5464
Q55870	 COG0457
Q55870	 COG0463
P72947	 COG3415
P72685	 COG1266
P72867	 COG0701
P74478	 COG0758
P74790	 ENOG50330AI
Q55878	 ENOG50308D1
Q55644	 COG3385
P74028	 ENOG5032ZRQ
P72789	 ENOG5033SZ2
Q55711	 COG1637
Q55162	 COG0590
P73966	 COG5659
P73508	 COG3565
P72754	 COG0330
P73214	 COG0739
P74294	 COG3706
P73357	 COG0845
P74175	 COG0845
P74175	 COG1566
Q55683	 COG0744
P74025	 COG1905
Q55779	 COG0645
Q55779	 COG2187
P74278	 COG3385
P73992	 COG2604
P73225	 COG0651
P74016	 COG0612
P73552	 COG1672
Q55447	 COG0745
Q55476	 COG0457
Q55476	 COG0741
Q55476	 COG1729
P73913	 COG0028
P73557	 COG0724
P74586	 COG1052
P73811	 COG1135
P73811	 COG1145
P73502	 COG2230
P73612	 COG5659
P74094	 COG0515
P73643	 COG0834
P74659	 COG5381
Q55888	 ENOG50301BU
Q55134	 COG0438
Q55417	 COG0816
P73704	 COG2165
P73637	 COG0179
Q55751	 ENOG5030VB6
Q55381	 COG1051
P74539	 ENOG502Z8M9
P73131	 ENOG502ZBUS
P72951	 COG2114
P72951	 COG4252
P73101	 COG0456
P73240	 COG0457
P72664	 ENOG502ZBFD
P73699	 COG2442
Q55150	 ENOG50313UX
P73522	 COG3038
P73413	 ENOG5031R6R
P73347	 ENOG5032TZZ
P74098	 COG2947
Q55915	 COG4252
Q55604	 COG1376
P73804	 COG1725
P74156	 COG1847
P72792	 COG0454
Q55925	 COG0251
Q55726	 COG0631
P74357	 COG2242
P72651	 COG0730
P74571	 COG0339
P74740	 COG1402
P74176	 COG0664
P74176	 COG2274
P74176	 COG3271
P74288	 COG0642
P74288	 COG0745
P74348	 COG0438
P73355	 COG2146
P74742	 ENOG5030QWM
P73753	 COG2605
P73364	 COG0784
P73364	 COG2207
Q55567	 COG3293
P74235	 COG3335
P73496	 COG3288
Q55981	 ENOG502ZNXN
P72593	 COG0614
P74157	 COG0457
P74157	 COG2214
P73692	 ENOG5032QU3
P74159	 COG0633
P73932	 COG0784
P73932	 COG2198
P73932	 COG2202
P73932	 COG2203
P73932	 COG2205
P74219	 ENOG50314NH
P74073	 COG0717
P74237	 COG3224
Q55662	 COG0542
P73472	 COG4775
Q55895	 COG1295
P74238	 COG3659
P74553	 COG0705
P74544	 COG0664
P77970	 COG3968
P73606	 COG2942
P73647	 COG2334
Q55685	 COG2087
P73255	 COG1625
P74566	 ENOG50333CB
P72633	 COG1214
Q55419	 COG0714
Q55466	 ENOG50336V5
Q59995	 COG0270
P72748	 COG1716
P72748	 COG2199
P72748	 COG2200
P74105	 COG4678
P73020	 COG1429
P73200	 ENOG502Z8MN
P73167	 COG4370
P73946	 COG4188
Q55376	 COG4122
Q55540	 COG2771
P72852	 COG3238
P74643	 COG0033
P74307	 COG5637
P74030	 COG1573
P74044	 COG1622
P73541	 COG3613
P73744	 COG1595
P74499	 COG0501
P74135	 ENOG50313MX
P73323	 COG1409
P72790	 COG0745
P72790	 COG3706
P74325	 COG0561
Q55715	 COG3170
P73663	 COG5493
P72647	 COG0845
P74114	 COG4783
P72990	 COG5360
P73139	 COG2931
Q55822	 COG0523
P74145	 COG1512
Q55931	 COG0389
P72668	 COG4783
P74806	 COG3328
P73116	 COG2214
P74379	 ENOG50330B3
P72616	 COG2442
P73687	 COG2205
Q55386	 ENOG502Z8C3
P73463	 COG3881
P73021	 COG1195
P73021	 COG3593
Q55906	 COG2202
Q55906	 COG2203
Q55906	 COG3706
P74490	 COG1071
P74426	 COG2002
P73947	 COG0535
Q55897	 COG2367
Q55811	 COG1012
P74161	 ENOG50313FK
P73231	 COG1563
P73543	 COG3659
P74452	 COG3381
P72953	 COG0657
P73013	 COG1357
P73013	 COG2214
P72834	 COG1004
P72599	 COG4774
P74567	 COG2343
Q55918	 COG4585
P72968	 COG1716
P73757	 COG0366
Q55541	 COG4991
P74414	 COG2138
Q55660	 COG1853
P74446	 COG1719
P72762	 COG0493
P73965	 COG2262
P74074	 COG2304
P73774	 COG0633
P73774	 COG2114
P74121	 ENOG502ZCG7
P74305	 COG0612
P73746	 COG2367
P73587	 COG2350
P74112	 COG1923
P73706	 COG1373
P73705	 COG2226
P73943	 ENOG5032TXZ
P73370	 COG5255
P74389	 COG0470
P97152	 COG3335
Q59991	 COG3659
P73409	 COG3659
P73730	 COG4446
P73791	 COG1808
P73607	 COG1366
P72719	 COG1225
Q55821	 COG1136
P74489	 ENOG502ZYZU
P73083	 COG4636
P74726	 ENOG5032U0G
P74141	 COG4638
P74734	 COG2403
Q55942	 COG0745
P72824	 COG2211
Q55490	 COG1136
P74274	 ENOG50334BR
P73550	 ENOG5033FUE
P74253	 COG3170
P73834	 ENOG50313K8
P73115	 COG2267
Q55795	 COG0438
P72620	 COG0409
P72927	 COG0045
P73939	 COG0667
P72750	 COG2358
P72747	 COG1716
P72747	 COG5001
P74542	 COG0483
P73874	 COG2109
Q55589	 COG0464
Q55410	 COG0226
P74484	 COG2267
Q55112	 COG1357
P72897	 COG3510
P74097	 COG0847
P74097	 COG1474
P74675	 COG5464
P72928	 COG0861
P74600	 ENOG5032UBP
P73386	 COG0465
Q55784	 COG0456
P73043	 COG0076
P73025	 COG2202
P73025	 COG2205
Q55597	 COG0742
Q55912	 COG0433
P73994	 COG1373
P73887	 COG1087
P73446	 COG5617
Q55910	 COG0737
P73741	 COG0456
P73601	 COG0662
P72688	 COG0195
Q55533	 ENOG5032Y1Q
P72586	 COG1089
P74502	 COG3476
Q55768	 COG3755
P74509	 COG5549
P72974	 COG0210
P74552	 COG0553
P72707	 COG0834
Q55414	 COG2202
Q55414	 COG3706
Q55414	 COG3829
Q55414	 COG5000
Q55686	 ENOG50317WH
P73444	 COG0463
P73466	 COG1259
Q55546	 COG1630
Q55948	 COG2516
P73154	 COG0328
Q55879	 COG2241
Q55879	 COG2242
P74231	 COG3222
P74400	 COG2203
P74400	 COG3614
P74400	 COG5001
P72737	 COG4328
Q55180	 ENOG5033XVQ
P74722	 COG0546
P73518	 COG0608
P73681	 ENOG502Z83E
P72977	 COG0071
P73521	 COG0524
P73533	 COG1132
P74187	 COG3166
P73488	 COG2337
P74137	 COG2205
P73578	 COG0661
Q55675	 COG3385
P73945	 ENOG5032SCR
P72981	 COG0110
P74526	 COG0739
P74119	 COG3170
P74543	 ENOG5030NQW
P73981	 COG0399
P74111	 COG0642
P74111	 COG0745
P74111	 COG2203
P72677	 COG3431
P73590	 COG2931
P73590	 COG4409
P73566	 COG0795
P73103	 COG3659
P73609	 COG1366
P73778	 COG0583
Q55737	 ENOG50303JQ
P74448	 ENOG5032RRI
P74136	 COG1316
P73588	 COG2319
P74616	 COG0577
P73542	 ENOG503386Y
P74394	 ENOG5031HP9
P74399	 COG4980
